cluster,,,,39,39,39,39
opt,,,,,,,
planning_horizon,,,,2020,2030,2040,2050
generators,capital,,coal,0.0,0.0,0.0,0.0
generators,capital,,lignite,0.0,0.0,0.0,0.0
generators,capital,AL0 0,biogas,0.0,0.0,0.0,0.0
generators,capital,AL0 0,offwind-ac,144.1848010550086,33.23049826446626,240.19427345048948,51.40995054821954
generators,capital,AL0 0,offwind-float,158.12797726280547,33.22321503367762,459.74029547901904,53.513013676666475
generators,capital,AL0 0,onwind,94.1360322424246,19.935533312051348,66.0439289357779,29.809281849035443
generators,capital,AL0 0,ror,14853811.92574654,14853811.92574654,14853811.92574654,14853811.92574654
generators,capital,AL0 0,rural solar thermal,108.40736745009646,23.96916146874466,62.415920568038544,33.22284472730842
generators,capital,AL0 0,solar,10529622.532573553,10529520.829820227,645176523.2981328,645176559.6276264
generators,capital,AL0 0,solar rooftop,259.88358403665217,236131229.42036062,239736078.42299905,239736093.6812572
generators,capital,AL0 0,solar-hsat,1440.7779304336848,229627461.37309286,229627925.65303886,229627502.93759912
generators,capital,AL0 0,unsustainable biogas,0.0,0.0,,
generators,capital,AL0 0,urban central heat vent,,0.0,0.0,0.0
generators,capital,AL0 0,urban central solar thermal,,34.361989336373526,82.72052250776623,34.063172630265846
generators,capital,AL0 0,urban decentral solar thermal,134.78430998546924,24.29846391795259,70.14418044616971,33.28371358405561
generators,capital,AT0 0,biogas,0.0,0.0,0.0,0.0
generators,capital,AT0 0,gas,0.0,0.0,0.0,0.0
generators,capital,AT0 0,onwind,507495989.0825093,501112869.0006361,377815800.2782309,50808711.29388428
generators,capital,AT0 0,ror,1376313648.0368216,1376313648.0368216,1376313648.0368216,1376313648.0368216
generators,capital,AT0 0,rural solar thermal,84.13061992431965,20.028765199270758,52.55301404324073,32.71471260569159
generators,capital,AT0 0,solar,470224543.49119294,470224597.91478145,1815513946.5380535,1752469486.7004735
generators,capital,AT0 0,solar rooftop,167.09256780177702,824610443.917998,824610462.8054209,824610459.3542224
generators,capital,AT0 0,solar-hsat,259.05104688318886,91.005718950702,405.8007051186455,46.65987737713362
generators,capital,AT0 0,unsustainable biogas,0.0,0.0,,
generators,capital,AT0 0,urban central heat vent,0.0,0.0,0.0,0.0
generators,capital,AT0 0,urban central solar thermal,82.20544277058349,23.013652384586944,64.08048527371541,29.455946736311514
generators,capital,AT0 0,urban decentral solar thermal,83.75809071405901,23.420193681592757,57.263088165860424,31.503285243391396
generators,capital,BA0 0,biogas,0.0,0.0,0.0,0.0
generators,capital,BA0 0,offwind-ac,53.25872925216718,32.47406752900745,211.2789880170229,36.52927743781233
generators,capital,BA0 0,offwind-float,47.360062104016144,25.55905880490764,117.67989715213412,32.95383843308839
generators,capital,BA0 0,onwind,17195888.88198611,17195816.99278447,17195908.426138207,47.67970918942038
generators,capital,BA0 0,rural solar thermal,81.10329410461446,20.067692227346473,49.35312862237808,30.28459346707211
generators,capital,BA0 0,solar,8514399.859311635,8514449.645982634,8514815.576574262,8514442.941398611
generators,capital,BA0 0,solar rooftop,176.095091780558,50691846.0841302,263731820.6119812,263731841.4767681
generators,capital,BA0 0,solar-hsat,322.0388823494055,92.01690753662744,240.4544793362917,46.83345362899449
generators,capital,BA0 0,unsustainable biogas,0.0,0.0,,
generators,capital,BA0 0,urban central heat vent,0.0,0.0,0.0,0.0
generators,capital,BA0 0,urban central solar thermal,8.588476598093076,26.454084236032326,0.1396714447471779,30.446749202313523
generators,capital,BA0 0,urban decentral solar thermal,88.1064210885084,22.091217537546495,54.45280828898681,29.204738835974933
generators,capital,BE0 0,biogas,0.0,0.0,0.0,0.0
generators,capital,BE0 0,gas,0.0,0.0,0.0,0.0
generators,capital,BE0 0,nuclear,4461648770.344189,4461648770.344189,4461648770.344189,4461648770.344189
generators,capital,BE0 0,offwind-ac,553662045.9864191,553662045.9864191,505536662.5133207,52.36686311339457
generators,capital,BE0 0,offwind-dc,252.85228585533724,1609.424103580784,178034617.99062836,178034641.97577193
generators,capital,BE0 0,offwind-float,74.63717076516359,89.9979774973165,431.8493731703547,43.39244218746564
generators,capital,BE0 0,onwind,413841470.844216,755547670.5452716,1734602779.027408,1437653143.442773
generators,capital,BE0 0,ror,18186779.19647938,18186779.19647938,18186779.19647938,18186779.19647938
generators,capital,BE0 0,rural solar thermal,70.44242163338387,15.758500919291588,42.285691072943244,27.747437838076344
generators,capital,BE0 0,solar,588210298.9079353,588210333.1728503,1137359584.8853805,921980975.0427251
generators,capital,BE0 0,solar rooftop,146.4026880083675,474762134.64121884,968617724.5591877,968617733.5081692
generators,capital,BE0 0,solar-hsat,225.26006414724228,56.001739428943104,539.04785459475,43.43480981927318
generators,capital,BE0 0,unsustainable biogas,0.0,0.0,,
generators,capital,BE0 0,urban central heat vent,0.0,0.0,0.0,0.0
generators,capital,BE0 0,urban central solar thermal,67.77575765472571,19.508980556642275,40.373671699433004,26.470418545156363
generators,capital,BE0 0,urban decentral solar thermal,70.92795688974695,17.521505144161726,47.241951621715835,26.76175928464752
generators,capital,BG0 0,biogas,0.0,0.0,0.0,0.0
generators,capital,BG0 0,gas,0.0,0.0,0.0,0.0
generators,capital,BG0 0,nuclear,1567871167.8181975,1567871167.8181975,1567871167.8181975,1567871167.8181975
generators,capital,BG0 0,offwind-ac,186.16469866293662,57.737604297231854,298336385.893318,298336413.1049037
generators,capital,BG0 0,offwind-dc,76.58272175506318,132.27072957849282,3238290.233309359,3238303.895506891
generators,capital,BG0 0,offwind-float,180.94316074882528,43.62471166530813,57544.88466404379,59.64429088978045
