cluster,,,39,39,39,39
opt,,,,,,
planning_horizon,,,2020,2030,2040,2050
AC,generators,geothermal,858478.2783262325,858454.0309511696,858125.7518467566,858456.3866263826
AC,generators,nuclear,804399269.3045936,763968690.8298334,568172177.4654249,516988426.19901586
AC,generators,offwind-ac,151333852.68062532,177440330.1754291,1117112495.3082592,1008944470.7038383
AC,generators,offwind-dc,74.8171163540193,165524415.73661667,1274438220.714685,1275195923.8698661
AC,generators,offwind-float,49.48720816317409,21.903712732550108,39669773.34113827,39745518.27403232
AC,generators,onwind,490005664.00174177,974907159.9411536,2476918866.459212,2226414904.9234047
AC,generators,ror,154379621.21326974,154376077.84395453,154367711.40802047,154379337.9728674
AC,generators,solar,330493384.68073,329927751.3431927,2296789538.5019283,2195158314.507318
AC,generators,solar-hsat,142844994.63575128,165978138.0734594,124123836.26461348,137395270.71967265
AC,lines,AC0,-64667798.507867165,25030648.834240463,52854115.51510105,142401288.52261078
AC,lines,AC1,62508091.20190887,-30326951.572272893,-87316803.12557495,-167373866.52046773
AC,links,CCGT1,9227075.557837447,127089535.27927259,3086530.8633430577,10829141.573200557
AC,links,DAC0,-10.513840770876845,-5.434861581090473,-44010050.53655629,-26117767.05710344
AC,links,DC0,-322161043.45350456,-448573425.3079076,-1759291916.4661088,-1523307679.6668751
AC,links,DC1,311918287.3590156,433669778.56804895,1696114869.5808156,1468671406.1445942
AC,links,H2 Electrolysis0,-2014129.761215696,-218050854.15459582,-3995343080.6817064,-3317653876.6141725
AC,links,H2 Fuel Cell1,9.089528026328221,4.7687646775239445,8.380422420120734,23.06329496248082
AC,links,H2 pipeline2,-814.8556937426678,-30.84656181393224,-6022505.739505381,-5096999.271830279
AC,links,OCGT1,74.74736980579227,19.571546517502043,7.0456457861911685,3107.8871022186095
AC,links,battery charger0,-922.3102297963818,-221.41707281359461,-691619655.3535719,-637833813.8984897
AC,links,battery discharger1,876.1955103764618,212.5604645476463,663954869.1394883,612320461.3423078
AC,links,coal1,168974635.06309852,42.44644385760353,4.029975243194825,214510.52561682876
AC,links,electricity distribution grid0,-3169955499.47149,-2995725776.018737,-4106898808.995635,-4315906581.91736
AC,links,electricity distribution grid1,1272.1058697174244,4193751.901892265,5896243.035593294,2341801.92838465
AC,links,gas pipeline2,-1290210.7522134362,-1092081.4957899924,-412865.2975526068,-95843.8476092035
AC,links,lignite1,525101764.779292,31472935.46591672,3.639555700101212,23718578.959546287
AC,links,methanolisation2,-2368114.4657099266,-43252204.56375725,-97764324.7224955,-138648414.8365912
AC,links,nuclear1,0.017682068550584084,0.0013979897616839961,0.003541591305802397,0.004023375622597658
AC,links,oil1,16.405964868344046,3.7763503874225632,1.6386908243778444,66674.91508635445
AC,links,urban central CHP CC1,33.827524881642205,35.45496770804377,9.433879046433592,23.418814936104834
AC,links,urban central CHP1,90.94039805999141,48.26293666113341,9.695280206468308,34.90748501908122
AC,links,urban central solid biomass CHP CC1,19.206112638184507,16.868675154158268,2291770.3679226367,1291414.7218003545
AC,links,urban central solid biomass CHP1,114681726.70814392,96716578.15380962,32453006.939054087,19080287.257322814
AC,storage_units,PHS,-15810451.697856689,-25672772.68914395,-31961135.862863213,-15524164.225214977
AC,storage_units,hydro,311539633.8923342,311539671.74857277,311538952.4250299,311539629.2719657
EV battery,links,BEV charger1,,471101739.44806844,1024980820.2054001,1137982521.1551774
EV battery,links,V2G0,,-178755452.62454435,-342839484.2908687,-163494898.41682333
EV battery,loads,land transport EV,,-292346286.8241067,-682141335.9229156,-974487622.7470224
EV battery,stores,EV battery,,0.0005819423259936229,0.008385554908272752,0.008671099002185656
H2,links,Fischer-Tropsch0,-59.58986827682811,-20.894285198523058,-2055908845.0899146,-1406514534.995108
H2,links,H2 Electrolysis1,1162757.1111498217,135500087.82480234,2604138842.2745028,2163964792.8669963
H2,links,H2 Fuel Cell0,-18.179056052656442,-9.537529355047889,-16.760844840241468,-46.12658992496164
H2,links,H2 pipeline retrofitted0,-20102.770265736952,-227205.15386787118,-9513058.186054194,-3598619.296533892
H2,links,H2 pipeline retrofitted1,20102.770265736952,227205.15386787118,9513058.186054194,3598619.296533892
H2,links,H2 pipeline0,-173757.75883612235,-4718.114083493586,-556150393.1966251,-463134585.63125855
H2,links,H2 pipeline1,173757.75883612235,4718.114083493586,556150393.1966251,463134585.63125855
H2,links,SMR CC1,713.945077673926,397.23560309754225,49.55196079169247,73.21993041215966
H2,links,SMR1,99863157.16103166,146466693.9388457,2578019.3108977936,4568456.06374823
H2,links,Sabatier0,-38.737403975784,-13.753101720087455,-83.96476678264551,-152.96426868524452
H2,links,methanolisation0,-9946511.959253019,-181667134.8394889,-410627965.4641108,-582348588.4117527
H2,loads,H2 for industry,-91080000.0,-100300000.0,-140180000.0,-179670000.0
H2,stores,H2 Store,6.737865202843113e-14,9.1549819347626e-13,1.5193366252879304e-08,2.9428258327342553e-08
agriculture machinery oil,links,agriculture machinery oil1,102847638.70887892,102847638.70887892,102847638.70887892,102847638.70887892
agriculture machinery oil,loads,agriculture machinery oil,-102847638.70883563,-102847638.70883563,-102847638.70883563,-102847638.70883563
battery,links,battery charger1,898.9568131938829,216.94353949359044,677646100.6783245,624946953.8978499
battery,links,battery discharger0,-898.9576258404528,-216.9436156794529,-677646100.6783851,-624946953.8976027
battery,stores,battery,0.0008126464742940296,7.618592253921916e-05,0.000248385646957101,-9.233234000490605e-05
biogas,generators,biogas,0.4169079816981447,23.45039354957905,353183379.6693184,50.84240982532657
biogas,generators,unsustainable biogas,197836569.35106248,65286067.87726566,,
