cluster,39,39,39,39
opt,,,,
planning_horizon,2020,2030,2040,2050
co2_shadow,-7.785136496362946,-40.07221380412596,-735.1801902579892,-1.9927816918733545
co2_storage_shadow,0.0,11.903492050330124,735.0725455952089,1.8740921001039574
line_volume,159742736.25372854,188655227.97482306,415706878.3521855,415709128.63244236
line_volume_AC,128155064.07406841,134337312.39620602,169286568.48037663,169288816.80316064
line_volume_DC,31587672.17966012,54317915.57861705,246420309.8718089,246420311.8292817
line_volume_limit,,,,
line_volume_shadow,,,,
total costs,3727518524783.293,6356688766517.293,9228724491013.824,9100074133765.002
