cluster,,39,39,39,39
opt,,,,,
planning_horizon,,2020,2030,2040,2050
generators,biogas,0.36334948969204206,140.42488678251283,353183379.6696277,7.228359823250523
generators,coal,560406292.697087,347833356.0833376,106071074.21053252,287071.02169812715
generators,gas,2138639137.9042594,1737300062.805533,230490789.2239238,345827132.4337918
generators,geothermal,10.149678029422176,391846.5561132825,677964.9816325039,780863.9284362638
generators,lignite,2349892.8817129154,293099725.21469796,1230.5214159323987,94582478.1456509
generators,nuclear,131781.54484733567,267739898.67175776,617212813.3914831,611159770.8480048
generators,offwind-ac,36264067.75608296,96809742.59666497,264966914.78014588,153255194.92789662
generators,offwind-dc,23.80314354710934,42.84530987976754,594366761.8365619,596230303.6468946
generators,offwind-float,22.15017047922091,41.91069263647546,27.60206025849114,2.4912233778932302
generators,oil primary,5770454464.80662,4441786013.884899,881071837.445133,0.23192330454901913
generators,onwind,73759942.82278812,254202449.48208097,1450606534.5773134,1203417970.9473646
generators,ror,62094285.43896923,95515211.01166648,154378195.75888938,154380349.91661808
generators,rural solar thermal,11.139152852724832,28.616310713137114,3.2766915209723524,1.049068742809145
generators,solar,65082103.46171318,128833030.54013337,342739143.4773419,242258722.6053871
generators,solar rooftop,28.234530345648878,80.23675090033696,412307020.96692574,463729825.35623735
generators,solar-hsat,38.01570544585223,57.2916482853356,29.998730887628444,3.274965619087063
generators,solid biomass,17.249809468239476,274353872.02967364,1024859170.8398669,1025546697.760814
generators,unsustainable biogas,197836569.52633455,65286068.40965754,,
generators,unsustainable bioliquids,192163292.47675058,63413886.523218215,,
generators,unsustainable solid biomass,1206562502.6369228,398165625.87611794,,
generators,urban central heat vent,-404923095.901619,-165161637.9438181,-104807470.27022813,-22731784.320678204
generators,urban central solar thermal,13.351909035568623,25.144244112519473,4.576362775484364,1.2938525147541866
generators,urban decentral solar thermal,11.144116639216659,25.489460764580784,3.3892374679553092,1.0527071265120855
lines,AC,-369611654.15990925,-100116118.45444055,-12596376.7927898,-4180408.833590582
links,BEV charger,,-33519510.433337033,-78212191.01111937,-111731701.44445944
links,CCGT,-145200078.27977642,-3247523.546386161,-2034481.4975120407,-801552.7853015717
links,DAC,-100.58231375631141,-177.22933010798945,-50.98422941908865,-6.899693834708318
links,DC,-4004520.0628989786,-9705424.754821599,-24471744.597580314,-16457045.186121166
links,Fischer-Tropsch,-125.35977364070905,-368.7558452485698,-760940050.601047,-518455893.8861973
links,H2 Electrolysis,-198.26190677433596,-137.04403708029022,-1146801653.2610567,-942920177.0265812
links,H2 Fuel Cell,-18.96762436176656,-44.0485568691969,-2.203844806333406,-2.810149249781715
links,H2 pipeline,-540.5169204717084,-661.0719388304507,-499072.91127238853,-441550.1748519993
links,H2 pipeline retrofitted,0.0,0.0,0.0,0.0
links,OCGT,-37.885903257958944,-93.07808604954424,-2.4070892358749685,-3.1030502009423104
links,SMR,-5119328.980262052,-7111076.426840015,-186438.8025425413,-102055.2072400786
links,SMR CC,-1362002.6574588816,-24882116.79676245,-81114.15506026862,-59680.882214793
links,Sabatier,-46.57904622486036,-111.02396513343663,-7.47647377292056,-8.926864351579159
links,agriculture machinery oil,26442127.91205277,26442127.91205277,26442127.91205277,26442127.91205277
links,battery charger,-29.208984628103053,-42.95256788940833,-369251.9767447598,-252034.84348176233
links,battery discharger,-28.469473920949667,-42.08481267013667,-361791.5718182251,-246942.7055714596
links,biogas to gas,-39171640.83815744,-12926669.246361634,-69930309.1745863,-1.4312152450036035
links,co2 sequestered,0.0,0.0,0.0,0.0
links,coal,-198.0310019922179,-2282031.637337038,-3056.5936929559048,-95853.01591285257
links,coal for industry,188352355.7701251,114609723.56803498,35647411.312131755,
links,electricity distribution grid,-41016420.512857914,-48553540.79753852,-45017252.50646734,-43413828.24987197
links,gas for industry,253174614.08922556,183165635.3186765,48431297.580127865,40904864.533618525
links,gas for industry CC,36.24725984411446,112.56326391680706,29002281.91438715,2698242.180617784
links,gas pipeline,-730721.6356928535,-803031.6772009444,-430061.93433122314,-115800.26440340148
links,gas pipeline new,0.0,0.0,0.0,0.0
links,home battery charger,-20.544309879229445,-31.727989689461083,-1230460.3268616572,-361772.61246778816
links,home battery discharger,-20.02459588099248,-31.087040601202034,-1205599.9798539206,-354463.3213852644
links,industry methanol,2167604.970114462,2167604.970114462,2167604.970114462,2167604.970114462
links,kerosene for aviation,191258483.68999636,191258483.68999636,191258483.68999636,191258483.68999636
links,land transport oil,823213975.4484426,576249782.8139088,246964192.63452154,
links,lignite,-618256.9087239656,-77114537.77330188,-323.751096862708,-24884650.001680315
links,methanolisation,-5523809.37673767,-100887522.38879642,-228256191.71606064,-323621724.8543329
links,naphtha for industry,265008395.999804,199758987.00000522,129784080.00007759,71180706.0000184
links,nuclear,-0.14147524284848761,-0.13635447416229507,-0.0037151333883016224,-0.002497208865096261
links,oil,-13.578567739678581,-2108.311301280333,-0.5016100435357589,-0.5721765520355794
links,oil refining,-216761252.76064885,-166851173.80900875,-33096567.42315778,-0.008711963042952391
links,process emissions,0.0,0.0,0.0,0.0
links,process emissions CC,0.0,0.0,0.0,1.4901161193847656e-08
links,rural air heat pump,125.24493777491853,386.3792190325306,65.4092384165655,7.683614324923821
links,rural biomass boiler,-10791802.48595389,-2052783.7375848088,-49344.00673484395,-23891.383064365626
links,rural gas boiler,-4844988.919961628,-1973537.8214709237,563102.8845330395,1.598007640251845
links,rural ground heat pump,39936067.654648095,25781727.892502956,522993798.3473152,496068880.6106643
links,rural oil boiler,-508170.5330102709,-308950.83526464086,,
