cluster,,,39,39,39,39
opt,,,,,,
planning_horizon,,,2020,2030,2040,2050
AC,generators,geothermal,97.99986729258096,97.99991135203577,97.99999246871009,97.99999965476475
AC,generators,nuclear,92491.64151011904,92491.64722321615,92491.64933718792,92491.64948814073
AC,generators,offwind-ac,28614.27145780303,33144.56800841173,208529.4762459974,185295.53364364727
AC,generators,offwind-dc,0.014797119722149565,15414.233611757785,227123.76450809636,227840.31759729094
AC,generators,offwind-float,0.014912113669415765,0.017879358404725477,144850.08314131948,145043.64773877573
AC,generators,onwind,187888.39486831505,294376.24121771636,773743.5896143853,672973.4638939749
AC,generators,ror,43216.00039901239,43216.00417352533,43214.59431786122,43216.008325985356
AC,generators,solar,80293.93641258923,80296.81318349561,526993.5876672362,512298.84210645646
AC,generators,solar-hsat,37290.131135971635,85916.01228439894,66400.89561844683,70321.01132052061
AC,lines,AC0,-142215.99783459236,-206244.15609122202,-334031.4397012634,-286041.81508866535
AC,lines,AC1,141470.86348815527,202753.44777057754,309407.64447486674,269545.7662839628
AC,links,CCGT1,4688.765830252162,141652.54980875106,0.0015281228539692272,42558.565025243704
AC,links,DC0,-70928.66214325964,-132891.90422830734,-732979.8111552228,-700523.0251989143
AC,links,DC1,68540.70247382086,128378.65227740174,706832.1141576938,675528.2908038471
AC,links,H2 Electrolysis0,-387.94914468044107,-27572.872107122555,-449999.9995104676,-449611.8772091051
AC,links,H2 Fuel Cell1,0.0010326083026537135,0.001168202036486853,0.0001759380169132054,2.4067372916837342e-05
AC,links,H2 pipeline2,-0.09265374544469669,-0.06618166209387683,-677.6814479681346,-748.02359416474
AC,links,OCGT1,0.011937987311276864,0.0077281431823891245,0.00017027833253211984,4.555599124626487e-05
AC,links,battery charger0,-0.1485928010610061,-0.12978530659008217,-0.23378216113202674,-0.0011121173613379482
AC,links,battery discharger1,0.1404883174470982,0.12312810873070376,0.2154668749556709,0.0010636904527806356
AC,links,coal1,79734.52787456516,0.015122510697117592,7.897164772629415e-05,415.41704512679235
AC,links,electricity distribution grid0,-442582.025757105,-477779.9813353606,-764255.0932554863,-767388.0084499877
AC,links,electricity distribution grid1,1.0713359397266302,2109.624929536595,652.1698568653107,603.9935026615902
AC,links,gas pipeline2,-218.40191042987203,-228.34940383679628,-436.68457942556023,-180.69885776634067
AC,links,lignite1,60675.91845621694,27358.17165494696,6.785874581567106e-05,7977.297707677584
AC,links,methanolisation2,-270.3336124350846,-4948.318797424801,-12198.972685936185,-16346.745382845584
AC,links,nuclear1,3.479230755087803e-06,1.0560217854488115e-06,7.290252560542037e-07,7.818312374820095e-10
AC,links,oil1,0.0023647573082205293,0.0010754614995292767,4.3727386298612276e-05,4.793442732156782e-06
AC,links,urban central CHP CC1,0.011797048908589809,0.011427666337998823,0.00018909741651932323,2.286342136329697e-05
AC,links,urban central CHP1,0.05021663451511384,0.034128613471449194,0.00022544709261765095,6.129496948478316e-05
AC,links,urban central solid biomass CHP CC1,0.003549003570013235,0.0042496116027040095,6240.137435790352,6231.75365934952
AC,links,urban central solid biomass CHP1,15936.563278844598,11013.575395860114,6362.169919768413,754.9923844838082
AC,storage_units,PHS,32630.11282041925,38095.875268296004,38483.72808962292,38091.77490427935
AC,storage_units,hydro,98807.984171459,104357.30378231959,104368.08327475094,104365.20948912979
EV battery,links,BEV charger1,,50989.285550094915,120987.77620480981,171316.60473445442
EV battery,links,V2G0,,-2.6494717737512707,-27.53880080310703,-15.818187133675726
EV battery,loads,land transport EV,,-41553.90273204704,-96959.10637477641,-138513.00910682348
EV battery,stores,EV battery,,13336.000572929637,31368.293141982398,43757.97583600235
H2,links,Fischer-Tropsch0,-0.005156631690548636,-0.006208023890429168,-234923.48182103393,-203555.9894678149
H2,links,H2 Electrolysis1,223.96304122401864,17124.830889908368,293054.23437714967,292830.15611267404
H2,links,H2 Fuel Cell0,-0.002065216605307427,-0.002336404072973706,-0.0003518760338264108,-4.8134745833674684e-05
H2,links,H2 pipeline retrofitted0,-2.281585107290084,-0.18252357816095355,-21012.21991116903,-27771.38490876941
H2,links,H2 pipeline retrofitted1,2.281585107290084,0.18252357816095355,21012.21991116903,27771.38490876941
H2,links,H2 pipeline0,-19.77825392934887,-13.884044811935041,-60799.89130384955,-66022.97997704295
H2,links,H2 pipeline1,19.77825392934887,13.884044811935041,60799.89130384955,66022.97997704295
H2,links,SMR CC1,899.3575367069584,898.958426401015,0.0017032617374012349,5.152952359092334e-05
H2,links,SMR1,10409.397881035098,14209.836683794276,779.112283106468,3775.051665338658
H2,links,Sabatier0,-0.0036039834191514985,-0.0035579307046249495,-0.0018105665925203212,-0.00025813067166987756
H2,links,methanolisation0,-1135.4503965109443,-20783.839974571205,-51237.90655739693,-68659.30714062616
H2,loads,H2 for industry,-10397.260273972603,-11449.771689497717,-16002.28310502283,-20510.27397260274
H2,stores,H2 Store,0.002178416393182867,0.19272682212236406,82782.07358436135,120056.10731929095
agriculture machinery oil,links,agriculture machinery oil1,11740.598026127731,11740.598026127731,11740.598026127731,11740.598026127731
agriculture machinery oil,loads,agriculture machinery oil,-11740.598026122789,-11740.598026122789,-11740.598026122789,-11740.598026122789
battery,links,battery charger1,0.14483034730607375,0.1271631109025505,0.22905880229543346,0.001089648027747359
battery,links,battery discharger0,-0.14413797242158982,-0.12566709974339615,-0.21990995838060898,-0.0010856245223260673
battery,stores,battery,0.0008573236219964996,0.003272970894015968,0.0494408808080507,1.9882636141091806e-05
biogas,generators,biogas,5.5716343285640934e-05,0.0064529184500233755,40317.73746918697,2.559761521290192e-05
