cluster,39,39,39,39
opt,,,,
planning_horizon,2020,2030,2040,2050
co2_shadow,-0.15882916151210097,-39.26405391644393,-4046.1230227071774,-0.0
co2_storage_shadow,0.0,33.67484828198599,3856.2154426354728,34.66975211369377
line_volume,156843845.08072296,179175388.84420842,453646871.7692709,454428844.73143876
line_volume_AC,128077847.70704831,133544156.03962226,196634318.7968919,197416291.75382015
line_volume_DC,28765997.37367464,45631232.80458614,257012552.97237897,257012552.97761858
line_volume_limit,,,,
line_volume_shadow,,,,
total costs,3724799590366.0205,6349715980146.813,9259721626609.99,9126757451013.598
