cluster,39,39,39,39
opt,,,,
planning_horizon,2020,2030,2040,2050
CCGT,48.60879084580796,62.474755986278915,80.94269285486145,52.44179466368107
DC,32.6540275655777,42.719233539574276,60.58425072333559,8.819918553815663
H2 Electrolysis,22.831061553012315,36.5506526838069,50.32883612790022,6.202243003159528
H2 Fuel Cell,30.783356885022062,42.19380410738704,74.10107115038731,7.3366008352667444
OCGT,31.122191025965968,47.53272255120483,73.2511342677066,9.900356316681512
battery charger,30.509580501828765,39.44674939530149,14.867953244396205,7.282329769664237
battery discharger,30.51649519098222,39.50682967793796,19.493439377307144,7.290230646412729
coal,34.21244321522316,50.11677034429075,65.88508938615605,49.19232762638296
electricity distribution grid,29.64258411475926,28.449828924458703,9.10883568163738,3.7191002797558452
geothermal,35.96546324760123,41.242896380669414,57.94794811147088,5.864578108921766
lignite,31.073435090639233,62.299634363001616,64.94068565724028,18.132358836746185
nuclear,30.57591550617744,40.79868670612501,62.363359028907254,9.21976255579759
offwind-ac,29.225092993245337,40.43887824308278,49.97550847467543,7.951769805806964
offwind-dc,30.521796416185502,44.06029658834206,48.63517814704373,7.941785616230098
offwind-float,30.023944556618268,42.442886377876775,54.141790082209944,7.631182220388514
oil,30.236442280270857,43.534834503382186,67.93882878238772,9.428710770437824
onwind,28.10709433122605,38.161275302959574,48.99046882988158,7.157424208965625
ror,31.324732108832546,39.85757486780139,53.639399966437594,8.091361599635091
solar,30.29089601029082,36.49700412772494,35.4815247430151,4.570498148149161
solar-hsat,30.838528028520756,30.946100161939146,55.62206997111078,5.744496049190738
urban central CHP,31.723216359511788,52.908205441411454,80.94114444919165,11.385070056155824
urban central CHP CC,31.389535097494488,46.620782445810576,78.78704813643441,9.167371168153817
urban central solid biomass CHP,31.346575447361683,45.75033323186436,382.3800097461658,23.10965482387339
urban central solid biomass CHP CC,31.128435699312732,42.89678709344904,65.46401697264143,9.726610311812717
