,AT,BE,BG,CH,CZ,EE,ES,FI,FR,GB,GR,HR,HU,LT,LV,NL,PL,PT,RO,RS,SI,SK
2019-01-01 00:00:00,33.48,69.49,,50.26,8.5,,66.88,,51.0,60.12,,51.0,59.9,,,68.92,100.63,66.88,,69.51,51.0,8.5
2019-01-01 01:00:00,39.76,66.58,47.94,48.74,3.97,28.32,66.88,28.32,46.27,55.76,74.12,46.27,52.71,28.32,28.32,64.98,43.16,66.0,279.0,51.08,46.27,3.97
2019-01-01 02:00:00,39.78,65.07,47.92,47.24,4.7,10.07,66.0,10.07,39.78,46.23,67.87,39.78,36.49,10.07,10.07,60.27,43.11,63.64,245.54,34.03,39.78,4.7
2019-01-01 03:00:00,27.87,52.17,47.1,36.29,0.93,10.03,63.64,10.03,27.87,44.1,68.02,27.87,31.24,10.03,10.03,49.97,33.54,58.85,169.98,28.49,27.87,0.93
2019-01-01 04:00:00,-0.36,47.66,47.06,30.09,3.9,4.56,58.85,4.56,23.21,44.41,70.0,-0.36,25.98,4.56,4.56,47.66,29.84,55.47,145.52,26.95,-0.36,3.9
2019-01-01 05:00:00,-4.45,50.87,44.08,27.31,7.95,4.83,55.47,4.83,22.64,46.03,70.0,-4.45,26.69,4.83,4.83,48.0,34.65,56.0,121.0,30.9,-4.45,7.95
2019-01-01 06:00:00,-8.99,52.88,47.02,28.53,11.7,8.09,56.0,8.09,20.9,51.0,64.83,-8.99,27.99,8.09,8.09,49.75,37.86,61.09,124.33,31.94,-8.99,11.7
2019-01-01 07:00:00,-6.05,61.78,44.08,26.84,5.01,25.54,61.09,25.54,26.54,39.0,60.0,-6.05,28.49,25.54,25.54,55.12,32.46,61.01,130.37,44.93,-6.05,5.01
2019-01-01 08:00:00,1.53,50.08,44.1,28.7,1.01,39.16,61.01,39.16,25.0,44.17,64.83,1.53,33.98,39.16,39.16,44.8,29.93,61.0,132.69,40.32,1.53,1.01
2019-01-01 09:00:00,0.41,50.27,47.92,35.7,0.11,37.66,61.0,37.66,25.0,51.3,64.19,0.41,41.24,37.66,37.66,49.58,35.23,63.0,158.28,45.03,0.41,0.11
2019-01-01 10:00:00,14.34,66.36,47.98,37.53,14.8,21.52,63.0,21.52,34.64,57.94,70.3,14.34,41.0,21.52,21.52,55.44,48.89,63.0,192.12,49.97,14.34,14.8
2019-01-01 11:00:00,9.2,75.08,47.96,38.36,15.5,28.25,63.0,28.25,41.03,54.09,70.34,41.03,45.16,28.25,28.25,62.62,50.0,64.03,190.96,52.01,41.03,15.5
2019-01-01 12:00:00,10.68,90.66,47.92,43.95,16.5,19.29,64.03,19.29,48.97,57.95,70.34,48.97,44.07,19.29,19.29,57.4,40.96,65.88,210.36,52.0,48.97,16.5
2019-01-01 13:00:00,8.85,75.71,47.92,43.07,16.0,19.32,65.88,19.32,41.06,65.85,67.67,41.06,41.16,19.32,19.32,50.76,49.76,65.01,205.27,46.91,41.06,16.0
2019-01-01 14:00:00,20.49,68.3,47.92,38.82,19.53,16.21,65.01,16.21,37.95,70.0,70.36,37.95,42.83,16.21,16.21,49.92,49.9,60.84,191.75,40.57,37.95,19.53
2019-01-01 15:00:00,18.78,61.83,48.0,48.02,5.0,21.47,60.84,21.47,33.42,48.9,64.51,53.59,54.91,21.47,21.47,50.05,50.3,61.09,199.5,52.08,53.59,5.0
2019-01-01 16:00:00,21.75,72.12,90.07,48.93,20.0,32.69,61.09,32.69,39.8,69.93,64.89,58.65,72.02,32.69,32.69,50.6,125.7,63.08,255.79,69.57,58.65,20.0
2019-01-01 17:00:00,40.1,62.58,189.75,50.99,16.74,29.34,63.08,29.34,44.29,84.84,65.22,64.64,73.8,29.34,29.34,60.72,129.38,66.66,335.46,69.58,64.64,16.74
2019-01-01 18:00:00,40.0,56.94,193.04,52.79,22.14,30.19,66.66,30.19,62.65,70.57,66.0,65.0,72.02,30.19,30.19,50.51,128.94,67.06,343.78,70.02,65.0,22.14
2019-01-01 19:00:00,25.07,57.89,189.77,55.17,23.27,30.09,67.06,30.09,65.56,69.0,67.79,65.56,70.63,30.09,30.09,47.35,126.74,67.26,335.46,70.02,65.56,23.27
2019-01-01 20:00:00,32.63,51.3,187.09,55.05,23.0,29.58,67.26,29.58,61.27,60.43,68.29,64.23,68.38,29.58,29.58,50.4,121.92,68.07,329.0,70.07,64.23,23.0
2019-01-01 21:00:00,0.02,51.89,163.23,50.7,20.0,36.91,68.07,36.91,57.41,53.89,68.25,61.72,53.12,36.91,36.91,47.53,85.45,67.08,318.54,71.32,61.72,20.0
2019-01-01 22:00:00,1.76,60.88,140.02,55.12,18.0,33.14,67.08,33.14,58.65,50.44,67.94,58.65,36.86,33.14,33.14,51.06,52.98,64.03,247.44,70.09,58.65,18.0
2019-01-01 23:00:00,-4.95,60.74,100.06,55.11,-0.99,21.61,64.03,21.61,54.91,49.01,68.0,54.91,23.95,21.61,21.61,47.55,5.93,61.74,171.72,69.56,54.91,-0.99
2019-01-02 00:00:00,-4.98,65.96,90.09,49.97,1.0,4.04,61.74,4.04,53.11,51.96,64.9,53.11,23.99,4.04,4.04,49.0,19.85,54.87,111.56,90.08,53.11,1.0
2019-01-02 01:00:00,-16.4,57.9,44.08,48.66,-2.0,9.7,53.0,9.7,45.87,52.45,48.45,45.87,17.16,9.7,9.7,46.6,9.23,54.42,111.88,53.09,45.87,-2.0
2019-01-02 02:00:00,-16.45,56.48,44.03,41.56,-3.48,6.32,48.23,6.32,39.15,49.92,45.45,19.2,15.39,2.15,6.32,46.6,5.01,52.99,80.01,35.01,19.2,-3.48
2019-01-02 03:00:00,-16.49,46.68,19.71,43.07,-7.0,4.35,47.23,4.35,25.84,48.53,31.5,1.3,7.92,1.17,4.35,45.73,9.88,51.1,71.77,28.05,1.3,-7.0
2019-01-02 04:00:00,-16.45,50.8,19.62,38.6,-7.85,8.81,45.24,8.81,28.36,47.99,37.28,0.01,8.91,8.81,8.81,46.01,9.93,51.09,36.93,25.46,0.01,-7.85
2019-01-02 05:00:00,0.71,45.28,30.9,49.21,10.75,22.67,45.7,22.67,30.72,50.05,42.95,39.0,22.04,22.67,22.67,46.45,26.41,51.1,41.55,31.0,39.0,10.75
2019-01-02 06:00:00,11.49,55.3,59.65,52.54,33.4,43.28,51.1,43.28,51.1,62.82,64.21,53.1,33.4,43.28,43.28,47.86,189.24,58.37,102.8,36.99,53.1,33.4
2019-01-02 07:00:00,41.8,56.86,100.8,54.99,49.1,44.64,58.37,44.64,58.37,50.04,70.49,65.41,49.1,44.64,44.64,49.5,213.27,63.75,155.77,50.97,65.41,49.1
2019-01-02 08:00:00,49.89,55.99,225.96,60.04,46.25,49.64,63.75,49.64,56.82,53.0,75.14,50.55,54.1,49.64,49.64,52.42,214.63,66.1,229.0,63.82,50.55,46.25
2019-01-02 09:00:00,52.04,55.33,248.59,64.83,49.97,49.96,66.1,49.96,57.44,56.37,75.02,52.93,56.92,49.96,49.96,52.42,217.98,65.88,252.34,65.08,52.93,49.97
2019-01-02 10:00:00,50.91,53.47,231.04,64.8,45.5,50.74,65.88,50.74,61.09,58.71,74.51,54.0,56.87,50.74,50.74,52.36,214.77,63.63,252.34,67.05,54.0,45.5
2019-01-02 11:00:00,48.78,53.22,235.54,64.29,46.3,49.99,63.63,49.99,63.63,57.95,70.44,64.0,60.07,49.99,49.99,51.94,215.88,62.8,218.74,67.07,64.0,46.3
2019-01-02 12:00:00,46.07,57.32,200.08,63.44,47.5,50.25,62.8,50.25,62.8,63.44,69.74,62.8,59.07,50.25,50.25,51.59,214.54,63.16,191.22,67.23,62.8,47.5
2019-01-02 13:00:00,48.34,51.91,141.15,60.24,49.0,49.94,63.16,49.94,58.65,62.94,67.78,58.65,55.85,49.94,49.94,51.77,214.67,61.5,198.88,66.73,58.65,49.0
2019-01-02 14:00:00,50.85,54.59,137.1,59.4,49.9,49.97,61.5,49.97,55.64,63.93,64.93,59.84,61.08,49.97,49.97,52.61,218.8,60.69,231.84,66.96,59.84,49.9
2019-01-02 15:00:00,54.52,58.89,224.24,62.01,57.4,50.93,60.69,50.93,56.72,65.0,70.46,65.0,65.46,50.93,50.93,60.0,225.02,62.19,284.85,71.89,65.0,57.4
2019-01-02 16:00:00,57.73,66.57,236.56,63.59,60.0,52.38,62.19,52.38,62.19,81.1,75.89,66.63,72.69,52.38,52.38,69.95,234.85,67.1,305.3,77.69,66.63,60.0
2019-01-02 17:00:00,59.62,74.33,234.17,68.67,61.28,54.67,67.1,54.67,67.1,109.95,77.65,72.69,75.04,54.67,54.67,80.0,238.79,69.3,339.0,87.72,72.69,61.28
2019-01-02 18:00:00,64.04,74.45,229.46,70.12,59.9,55.58,69.3,55.58,69.3,85.0,78.15,73.0,74.83,55.58,55.58,77.67,237.95,69.25,349.96,80.53,73.0,59.9
2019-01-02 19:00:00,64.05,74.33,220.5,69.69,61.19,55.39,69.25,55.39,69.25,79.94,78.15,73.56,73.06,55.39,55.39,76.53,235.86,68.07,349.0,76.06,73.56,61.19
2019-01-02 20:00:00,59.47,67.29,198.93,66.9,59.98,54.9,68.07,54.9,63.43,66.0,77.61,66.63,72.69,54.9,54.9,67.29,231.37,68.01,340.73,67.21,66.63,59.98
2019-01-02 21:00:00,55.64,55.64,187.19,60.94,52.75,53.86,68.01,53.86,55.64,55.93,76.49,61.29,72.69,53.86,53.86,55.64,226.45,66.66,339.0,67.05,61.29,52.75
2019-01-02 22:00:00,55.32,56.77,171.62,60.07,51.25,52.71,66.66,52.71,55.97,50.11,70.79,58.65,70.0,52.71,52.71,53.81,209.83,64.28,339.0,64.13,58.65,51.25
2019-01-02 23:00:00,51.59,57.28,117.53,58.97,41.0,52.09,64.28,52.09,54.31,55.0,69.6,54.31,59.48,48.84,52.09,52.43,167.57,62.01,326.46,61.5,54.31,41.0
2019-01-03 00:00:00,43.98,50.12,100.71,53.03,43.0,50.76,62.01,50.76,47.03,54.99,67.8,43.98,52.16,39.01,50.76,50.12,173.67,54.85,277.41,57.0,43.98,43.0
2019-01-03 01:00:00,45.41,46.45,104.73,50.5,42.99,49.8,54.85,49.8,45.93,55.0,67.99,45.41,45.06,40.29,49.8,47.1,159.72,52.19,243.28,47.08,45.41,42.99
2019-01-03 02:00:00,45.7,46.12,104.7,48.32,42.11,48.89,52.19,48.89,45.91,54.92,67.63,45.7,42.11,37.05,48.89,46.4,152.48,50.21,210.17,46.97,45.7,42.11
2019-01-03 03:00:00,44.0,44.0,104.7,45.44,42.05,48.31,50.21,48.31,44.0,51.08,67.38,44.0,42.05,35.37,48.31,44.0,155.32,50.2,196.4,46.91,44.0,42.05
2019-01-03 04:00:00,43.88,43.88,104.73,45.49,43.17,48.4,50.2,48.4,43.88,51.0,64.86,43.88,43.17,36.03,48.4,43.88,165.34,52.19,196.12,46.03,43.88,43.17
2019-01-03 05:00:00,45.92,45.92,104.83,49.94,45.59,48.79,52.19,48.79,45.92,51.91,64.86,45.92,49.04,38.35,48.79,45.92,184.38,54.91,201.32,50.98,45.92,45.59
2019-01-03 06:00:00,54.78,52.96,185.18,54.97,48.86,49.61,54.91,49.61,54.69,61.4,67.7,55.1,66.25,49.61,49.61,52.46,220.58,66.58,228.69,62.08,55.1,48.86
2019-01-03 07:00:00,66.13,60.22,274.17,66.88,60.5,51.55,66.58,51.55,66.58,62.74,69.29,66.58,115.78,51.17,51.55,58.63,232.4,66.88,309.0,71.91,66.58,60.5
2019-01-03 08:00:00,68.36,65.65,290.01,69.47,65.21,57.09,68.03,57.09,68.03,70.2,75.27,69.6,83.95,53.91,57.09,65.08,251.3,69.12,540.0,84.08,69.6,65.21
2019-01-03 09:00:00,62.63,75.58,290.09,69.56,63.5,58.86,69.12,58.86,69.12,74.0,79.85,69.7,85.03,58.86,58.86,75.58,254.95,69.19,486.15,84.09,69.7,63.5
2019-01-03 10:00:00,61.35,77.03,290.05,69.63,62.33,59.14,69.19,59.14,69.19,69.0,79.81,69.19,81.93,59.14,59.14,79.68,250.87,68.01,495.41,82.94,69.19,62.33
2019-01-03 11:00:00,64.43,71.59,290.03,69.05,62.71,58.19,68.01,58.19,68.01,70.0,79.81,73.0,95.02,58.19,58.19,74.29,265.01,67.2,466.26,75.51,73.0,62.71
2019-01-03 12:00:00,64.58,69.83,290.01,68.95,64.4,61.47,67.2,61.47,67.2,65.3,77.6,72.96,95.04,61.47,61.47,73.7,267.27,66.7,443.18,73.94,72.96,64.4
2019-01-03 13:00:00,65.25,68.15,285.84,66.62,65.22,62.0,66.7,62.0,66.7,64.92,76.53,66.7,83.89,62.0,62.0,70.31,272.1,67.0,443.27,72.01,66.7,65.22
2019-01-03 14:00:00,65.74,68.25,282.17,66.11,66.54,63.12,67.0,63.12,67.0,63.58,71.68,67.0,83.37,63.12,63.12,69.9,274.49,68.01,391.24,72.03,67.0,66.54
2019-01-03 15:00:00,67.83,68.19,277.45,67.78,68.3,63.67,68.01,63.67,68.01,72.4,75.32,68.01,83.35,63.67,63.67,68.45,285.1,68.99,388.82,73.17,68.01,68.3
2019-01-03 16:00:00,68.58,69.4,244.58,68.65,70.63,66.13,68.99,66.13,68.99,102.0,75.55,68.99,116.64,66.13,66.13,70.0,294.92,70.0,388.73,77.07,68.99,70.63
2019-01-03 17:00:00,69.98,72.32,176.22,71.21,73.0,68.41,70.0,68.41,71.15,134.6,75.78,73.0,96.49,68.41,68.41,73.7,299.82,71.1,543.98,82.25,73.0,73.0
2019-01-03 18:00:00,69.05,77.92,137.08,71.79,73.42,69.55,71.1,69.55,73.43,110.0,76.06,73.43,83.93,69.55,69.55,83.7,283.09,70.55,450.0,83.93,73.43,73.42
2019-01-03 19:00:00,69.78,71.34,138.28,71.09,71.48,65.67,70.55,65.67,70.55,80.07,76.11,70.55,75.98,65.67,65.67,71.34,265.16,68.38,391.45,79.8,70.55,71.48
2019-01-03 20:00:00,68.38,68.38,134.03,69.65,69.5,61.51,68.38,61.51,68.38,69.94,76.86,68.38,72.0,61.51,61.51,68.38,248.3,67.83,354.35,74.93,68.38,69.5
2019-01-03 21:00:00,61.72,61.72,120.07,63.02,63.0,57.6,67.83,56.04,61.72,63.3,75.68,61.72,67.08,57.6,57.6,61.72,234.68,66.1,335.82,72.03,61.72,63.0
2019-01-03 22:00:00,55.06,56.6,104.77,61.02,58.0,54.44,66.1,54.44,59.84,54.09,70.48,59.84,60.03,54.44,54.44,53.81,233.19,66.88,312.87,69.97,59.84,58.0
2019-01-03 23:00:00,51.78,56.06,104.73,57.35,51.08,52.09,66.88,52.09,58.65,57.47,70.5,51.78,51.08,52.09,52.09,49.98,215.47,67.2,151.79,64.94,51.78,51.08
2019-01-04 00:00:00,51.78,53.44,47.08,52.59,48.9,49.98,67.2,49.98,55.52,59.2,70.46,55.52,50.31,49.98,49.98,51.63,215.08,63.75,50.0,60.02,55.52,48.9
2019-01-04 01:00:00,48.3,51.27,44.08,51.69,46.2,49.87,63.75,49.87,52.91,59.47,70.5,52.91,49.43,49.87,49.87,47.11,206.88,58.89,234.66,50.27,52.91,46.2
2019-01-04 02:00:00,47.6,50.0,44.08,49.95,45.51,47.97,58.89,47.97,49.61,51.1,70.49,49.61,47.37,47.97,47.97,47.07,202.98,54.94,139.92,48.09,49.61,45.51
2019-01-04 03:00:00,47.05,47.87,44.06,48.41,46.06,47.07,54.94,47.07,47.41,51.02,70.4,47.41,46.06,47.07,47.07,46.21,202.9,54.85,121.0,46.03,47.41,46.06
2019-01-04 04:00:00,47.0,47.0,44.06,48.12,45.32,47.05,54.85,47.05,47.0,50.33,68.18,47.0,45.32,47.05,47.05,47.0,204.55,58.0,118.83,46.18,47.0,45.32
2019-01-04 05:00:00,47.09,47.51,44.08,50.33,45.6,47.43,58.0,47.43,47.78,55.5,70.44,52.99,47.46,47.43,47.43,46.91,209.5,63.0,128.99,51.07,52.99,45.6
2019-01-04 06:00:00,52.47,59.54,47.9,54.03,51.89,48.58,63.0,48.58,59.54,63.76,75.17,64.82,64.04,48.58,48.58,59.54,220.78,68.4,221.33,65.98,64.82,51.89
2019-01-04 07:00:00,59.12,68.4,84.67,65.95,59.08,51.2,68.4,51.2,68.4,65.07,75.83,73.93,69.95,51.2,51.2,68.4,249.14,69.71,298.7,75.08,73.93,59.08
2019-01-04 08:00:00,59.84,74.19,117.37,69.92,60.77,57.77,69.71,57.77,69.71,74.0,75.8,75.04,66.96,57.77,57.77,74.19,258.92,71.06,326.26,80.43,75.04,60.77
2019-01-04 09:00:00,60.14,81.91,117.41,70.0,61.56,60.04,71.06,60.04,71.86,79.59,83.35,73.43,69.16,60.04,60.04,80.0,264.2,71.06,312.3,78.97,73.43,61.56
2019-01-04 10:00:00,60.07,83.56,72.95,69.93,60.0,59.94,71.06,59.94,71.58,77.0,84.52,71.58,68.64,59.94,59.94,85.38,261.17,70.16,322.55,77.91,71.58,60.0
2019-01-04 11:00:00,58.45,82.33,71.52,69.92,60.0,59.92,70.16,59.92,70.16,64.94,84.52,70.16,70.49,59.92,59.92,82.61,264.12,70.01,320.12,78.15,70.16,60.0
2019-01-04 12:00:00,56.73,79.38,66.38,69.37,60.0,57.99,70.01,57.99,70.16,65.0,84.52,70.16,70.26,57.99,57.99,69.67,264.45,69.17,328.74,76.04,70.16,60.0
2019-01-04 13:00:00,56.46,78.45,72.87,69.04,60.38,58.43,69.17,58.43,69.17,65.0,84.52,69.17,70.54,58.43,58.43,69.73,268.52,69.15,327.71,77.93,69.17,60.38
2019-01-04 14:00:00,56.38,80.62,79.95,67.64,62.4,57.98,69.15,57.98,69.15,68.04,83.5,69.15,74.09,57.98,57.98,69.73,264.15,68.4,329.0,77.94,69.15,62.63
2019-01-04 15:00:00,56.45,80.39,121.46,68.3,63.43,58.37,68.4,58.37,68.4,70.84,84.54,68.4,84.83,58.37,58.37,73.0,263.98,68.4,345.53,88.92,68.4,63.43
2019-01-04 16:00:00,57.1,79.73,121.34,69.39,64.31,60.67,68.4,60.67,68.4,83.8,84.58,73.22,117.93,60.67,60.67,76.0,269.85,69.15,395.63,116.07,73.22,110.0
2019-01-04 17:00:00,60.08,86.94,220.87,71.58,67.53,59.95,69.15,59.95,73.18,91.1,84.82,75.0,128.65,59.95,59.95,89.9,268.54,71.06,550.0,117.95,75.0,101.0
2019-01-04 18:00:00,60.43,85.7,186.0,72.19,59.0,59.92,71.06,59.92,77.23,76.0,115.0,77.23,122.22,59.92,59.92,73.3,264.35,71.94,600.0,114.94,77.23,59.0
2019-01-04 19:00:00,58.06,79.6,185.82,69.98,52.32,57.58,71.94,57.58,75.97,75.3,115.0,75.97,119.86,57.58,57.58,55.0,262.56,70.2,570.0,102.94,75.97,52.32
2019-01-04 20:00:00,52.38,60.4,156.84,69.76,46.99,59.1,70.2,59.1,70.2,63.6,84.64,73.95,121.79,59.1,59.1,52.73,248.04,68.71,559.03,95.69,73.95,46.99
2019-01-04 21:00:00,51.13,60.3,185.8,64.66,40.84,54.22,68.71,54.22,68.71,63.57,84.55,70.0,104.81,54.22,54.22,52.12,217.58,68.68,568.0,84.95,70.0,51.5
2019-01-04 22:00:00,45.74,60.3,185.9,64.74,39.15,50.45,68.68,50.45,68.68,62.49,77.64,68.68,111.28,50.45,50.45,51.43,214.71,68.17,488.83,93.52,68.68,48.54
2019-01-04 23:00:00,45.0,54.9,264.37,60.7,31.07,49.79,68.17,49.79,67.51,66.03,74.25,65.92,85.18,49.79,49.79,50.64,211.39,71.68,518.98,75.09,65.92,41.77
2019-01-05 00:00:00,45.06,59.3,185.08,63.06,28.1,49.02,71.68,49.02,71.68,58.72,64.98,71.68,64.23,49.02,49.02,50.02,208.63,69.5,397.26,75.06,71.68,28.1
2019-01-05 01:00:00,45.46,57.17,150.36,58.48,26.87,48.42,69.5,48.42,63.74,57.1,67.7,63.74,51.05,48.42,48.42,46.0,204.77,68.07,299.66,75.07,63.74,26.87
2019-01-05 02:00:00,48.0,45.9,129.53,54.73,29.13,47.52,68.07,47.52,60.0,52.97,67.86,53.1,44.95,47.52,47.52,45.68,202.42,66.0,238.17,68.14,53.1,29.13
2019-01-05 03:00:00,46.1,49.05,117.43,52.53,26.33,47.19,66.0,47.19,55.84,52.05,67.96,49.1,39.05,46.98,47.19,45.49,200.43,63.93,209.7,63.2,49.1,26.33
2019-01-05 04:00:00,46.05,51.0,111.29,51.58,25.72,47.0,63.93,47.0,53.48,51.0,66.31,46.05,39.05,47.0,47.0,45.0,196.66,62.0,182.21,58.51,46.05,25.72
2019-01-05 05:00:00,48.03,51.0,113.46,52.52,23.48,47.01,62.0,47.01,53.34,50.76,64.88,51.8,47.5,47.01,47.01,43.8,203.94,60.84,182.21,55.99,51.8,23.48
2019-01-05 06:00:00,48.1,52.21,119.48,52.94,26.26,47.33,60.84,47.33,52.57,52.56,67.86,60.7,57.34,47.33,47.33,45.9,205.06,62.92,221.64,72.74,60.7,26.26
2019-01-05 07:00:00,49.02,48.09,150.77,54.07,27.0,47.59,62.92,47.59,55.67,56.0,67.7,49.02,53.07,47.59,47.59,46.68,207.79,60.79,267.53,75.04,49.02,27.0
2019-01-05 08:00:00,49.06,59.11,136.83,60.32,35.89,48.22,60.79,48.22,60.79,61.65,71.22,73.95,66.07,48.22,48.22,51.65,215.43,66.92,309.0,74.78,73.95,35.89
2019-01-05 09:00:00,55.33,69.0,142.62,65.05,50.52,49.99,66.92,49.99,66.92,63.68,75.49,73.41,69.82,49.99,49.99,52.41,221.8,69.12,309.0,76.82,73.41,52.89
2019-01-05 10:00:00,50.72,69.0,136.85,65.08,53.56,51.47,69.12,51.47,69.12,63.67,75.81,69.12,71.96,51.47,51.47,52.62,226.33,68.25,325.77,84.57,69.12,54.89
2019-01-05 11:00:00,53.66,69.0,140.78,64.8,54.37,52.53,68.25,52.53,68.25,71.98,76.39,68.25,70.52,52.53,52.53,52.71,236.43,67.67,335.73,83.21,68.25,65.0
2019-01-05 12:00:00,54.73,73.0,118.46,63.4,52.99,53.49,67.67,53.49,67.67,71.94,76.53,67.67,68.26,53.49,53.49,73.0,232.5,64.0,329.0,82.54,67.67,59.0
2019-01-05 13:00:00,54.34,73.0,114.18,60.07,52.0,53.64,64.0,53.64,64.0,69.0,77.62,64.0,64.25,53.64,53.64,73.0,230.29,61.57,318.49,75.05,64.0,56.89
2019-01-05 14:00:00,53.97,68.96,132.86,58.06,50.5,52.93,61.57,52.93,61.57,59.49,76.03,61.57,62.09,52.93,52.93,68.96,225.99,59.4,299.75,75.04,61.57,53.46
2019-01-05 15:00:00,54.53,64.12,153.26,57.95,51.7,52.45,59.4,52.45,59.4,56.18,76.52,62.43,65.08,52.45,52.45,64.12,243.83,58.31,289.7,78.02,62.43,54.14
2019-01-05 16:00:00,56.99,59.61,167.07,58.85,54.5,57.13,58.31,57.13,58.31,76.08,77.64,68.26,68.16,56.59,57.13,59.61,270.91,67.2,303.65,100.44,68.26,68.16
2019-01-05 17:00:00,59.19,75.14,205.4,66.13,58.0,62.87,67.2,62.87,67.2,84.99,78.1,76.55,74.8,62.87,62.87,75.14,263.15,69.0,450.0,100.08,76.55,60.89
2019-01-05 18:00:00,63.27,74.7,205.66,68.09,59.7,61.07,69.0,61.07,69.0,75.3,77.69,76.84,74.8,61.07,61.07,74.7,260.74,68.71,349.0,93.71,76.84,60.69
2019-01-05 19:00:00,61.5,76.29,188.01,68.01,59.0,60.51,68.71,60.51,68.71,67.5,77.74,77.51,72.66,60.51,60.51,73.0,253.73,68.07,349.0,90.9,77.51,60.89
2019-01-05 20:00:00,56.14,68.07,156.43,66.41,55.0,58.88,68.07,58.88,68.07,60.1,83.85,76.55,65.15,58.88,58.88,68.07,231.46,65.38,339.0,85.14,76.55,56.89
2019-01-05 21:00:00,53.71,60.05,156.35,59.9,50.5,52.75,65.38,52.75,60.05,60.58,76.73,53.71,58.46,52.75,52.75,53.62,223.65,65.76,303.95,78.93,53.71,52.97
2019-01-05 22:00:00,54.73,65.76,138.67,61.13,49.25,51.9,65.76,51.9,65.76,57.85,75.43,54.73,54.67,51.9,51.9,52.82,220.33,62.8,272.75,75.08,54.73,49.25
2019-01-05 23:00:00,52.94,64.9,82.93,61.12,43.06,51.13,62.8,51.13,62.8,56.0,70.66,52.94,46.31,51.13,51.13,62.36,213.44,63.75,255.07,63.9,52.94,43.06
2019-01-06 00:00:00,52.46,59.23,98.93,62.94,43.57,50.21,63.75,50.21,60.9,62.25,75.19,52.46,50.81,50.21,50.21,51.95,189.71,54.7,216.07,73.78,52.46,43.57
2019-01-06 01:00:00,49.02,51.54,100.59,58.94,43.0,50.29,54.7,50.29,53.78,55.96,74.41,52.0,47.95,50.29,50.29,50.0,183.34,54.05,236.99,75.01,52.0,43.0
2019-01-06 02:00:00,49.01,50.6,72.05,54.74,42.5,49.03,54.05,49.03,51.43,52.97,74.79,49.01,46.07,49.03,49.03,48.38,180.34,52.2,223.69,59.62,49.01,42.5
2019-01-06 03:00:00,48.02,48.02,47.98,50.55,42.83,48.81,48.06,48.81,48.02,52.65,70.43,48.02,42.86,48.81,48.81,48.02,178.64,50.2,214.92,44.03,48.02,42.83
2019-01-06 04:00:00,48.3,46.41,48.0,49.85,40.5,48.66,48.37,48.66,48.37,52.08,70.48,48.3,43.01,48.66,48.66,45.91,178.44,50.2,199.93,41.37,48.3,40.5
2019-01-06 05:00:00,47.17,47.17,74.44,48.13,40.7,47.82,47.17,47.82,47.17,52.08,70.22,47.17,46.31,47.82,47.82,47.17,178.49,50.2,200.61,44.92,47.17,40.7
2019-01-06 06:00:00,48.19,48.19,79.17,51.52,42.62,48.72,48.19,48.72,48.19,55.17,70.47,48.19,47.4,48.72,48.72,48.19,180.36,50.2,216.02,58.02,48.19,42.62
2019-01-06 07:00:00,49.11,49.11,83.89,54.35,42.64,49.38,50.2,49.38,49.11,46.79,68.05,49.11,48.25,49.38,49.38,49.11,182.97,52.2,229.0,56.14,49.11,42.64
2019-01-06 08:00:00,51.11,50.77,96.77,55.06,47.89,49.65,52.2,49.65,51.06,49.28,68.16,54.99,60.03,49.65,49.65,50.7,213.43,54.7,225.08,62.01,54.99,47.89
2019-01-06 09:00:00,53.4,53.4,97.79,57.53,53.05,50.44,54.7,50.44,53.4,55.99,68.19,56.5,66.02,50.44,50.44,53.4,223.52,62.0,280.0,65.08,56.5,53.05
2019-01-06 10:00:00,56.55,56.55,104.17,62.05,55.59,51.68,62.0,51.68,56.55,63.7,70.38,56.55,69.97,51.68,51.68,56.55,226.45,64.01,307.97,70.03,56.55,55.59
2019-01-06 11:00:00,60.02,60.02,129.1,62.65,57.52,52.35,64.01,52.35,60.02,68.0,70.5,60.02,70.08,52.35,52.35,60.02,228.27,64.18,326.39,71.07,60.02,57.52
2019-01-06 12:00:00,60.22,60.22,109.66,63.72,57.92,52.77,64.18,52.77,60.22,69.24,70.5,60.22,66.06,52.77,52.77,60.22,228.64,64.86,326.91,68.08,60.22,57.92
2019-01-06 13:00:00,55.0,55.0,100.43,60.95,56.82,52.86,64.86,52.86,55.0,75.09,73.9,55.0,57.49,52.86,52.86,55.0,226.83,64.01,308.13,65.09,55.0,56.82
2019-01-06 14:00:00,52.39,52.39,112.71,57.23,53.93,52.44,64.01,52.44,52.39,68.88,70.41,52.39,53.93,52.44,52.44,52.39,222.83,58.31,268.2,64.16,52.39,53.93
2019-01-06 15:00:00,51.57,51.57,108.18,55.98,54.28,51.52,58.31,51.52,51.57,60.2,70.6,53.0,58.92,51.52,51.52,51.57,223.07,54.94,251.57,65.0,53.0,54.28
2019-01-06 16:00:00,54.71,54.71,136.81,59.05,57.59,51.57,54.94,51.57,54.71,88.0,75.39,57.12,64.85,51.57,51.57,54.71,230.97,63.43,274.83,74.29,57.12,57.59
