cluster,39,39,39,39
opt,,,,
planning_horizon,2020,2030,2040,2050
co2_shadow,-0.16121459954437825,-39.2583656979807,-2492.9975695618914,-0.0
co2_storage_shadow,0.0,33.67528316863875,2492.8890004937534,0.0
line_volume,156843529.57193848,179172759.60074985,442700180.89060503,443620811.78043014
line_volume_AC,128077696.58844566,133542102.55963653,191145471.46794543,192066102.2338882
line_volume_DC,28765832.983492833,45630657.04111332,251554709.4226596,251554709.54654193
line_volume_limit,,,,
line_volume_shadow,,,,
total costs,3724800019293.8896,6349717870490.7295,9237079695225.717,9103968557214.9
